INFO 2025-09-14 20:58:21,250 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 20:58:21,260 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 20:58:27,554 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 20:58:27,580 basehttp "GET /subjectspage/ HTTP/1.1" 200 3744
INFO 2025-09-14 20:58:29,331 basehttp "GET /subjectspage/add/ HTTP/1.1" 200 5700
INFO 2025-09-14 20:58:52,085 basehttp "POST /subjectspage/add/ HTTP/1.1" 302 0
INFO 2025-09-14 20:58:52,095 basehttp "GET /subjectspage/ HTTP/1.1" 200 5068
INFO 2025-09-14 20:59:35,345 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:59:36,662 basehttp "GET / HTTP/1.1" 200 11578
INFO 2025-09-14 21:04:17,800 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:04:19,571 basehttp "GET / HTTP/1.1" 200 11578
INFO 2025-09-14 21:04:21,330 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 21:04:21,346 basehttp "GET /login/ HTTP/1.1" 200 3590
INFO 2025-09-14 21:04:25,168 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:04:25,404 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:04:25,969 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:04:26,184 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:04:26,360 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:04:26,512 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:04:35,025 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:04:35,103 basehttp "GET /subjectspage/ HTTP/1.1" 200 5078
INFO 2025-09-14 21:04:38,098 basehttp "GET /subjectspage/add/ HTTP/1.1" 200 5700
INFO 2025-09-14 21:05:30,827 basehttp "POST /subjectspage/add/ HTTP/1.1" 302 0
INFO 2025-09-14 21:05:30,857 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:05:33,252 basehttp "GET /dashboard/ HTTP/1.1" 200 11000
INFO 2025-09-14 21:05:36,033 basehttp "GET /dashboard/ HTTP/1.1" 200 11000
INFO 2025-09-14 21:05:50,242 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:05:52,255 basehttp "GET / HTTP/1.1" 200 11602
INFO 2025-09-14 21:07:19,508 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\faculty_portal\urls.py changed, reloading.
INFO 2025-09-14 21:07:20,228 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:07:52,077 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\faculty_portal\urls.py changed, reloading.
